metric,dataset,feature,op,threshold,coverage,n,mean_delta,base_rr,rel_gain,improved,worse,unchanged,improved_sum,worse_sum,improved_mean,worse_mean
official_aligned,FB15k-237,avg_pos_dep,>=,18.4,0.20005389646978122,8166,0.009299957990728252,0.20607956420977022,0.04512799717133399,5633,2533,0,117.7438463693675,-41.8003894170806,0.020902511338428457,-0.016502325075831267
official_aligned,FB15k-237,avg_neg_dep,>=,29.18421052631579,0.2501286165756143,10210,0.00951486433047623,0.21744980437872355,0.043756601012639104,6639,3508,63,148.46097606465182,-51.31421125048952,0.02236194849595599,-0.014627768315418906
official_aligned,FB15k-237,avg_pos_dep,>=,3.82,0.30003184791396165,12247,0.010378757109008745,0.2436987245455201,0.04258847529204082,8086,4154,7,192.89934990409714,-65.79071159006705,0.023855967091775555,-0.015837918052495677
official_aligned,FB15k-237,num_edges,>=,93.0,0.30017883828609226,12253,0.009399351672273069,0.2217933633757242,0.042378868011259216,7824,4376,53,187.0372216836134,-71.86696564325148,0.023905575368559997,-0.016422981179902076
official_aligned,FB15k-237,dep_nonzero_ratio,>=,0.7425742574257426,0.3000563463093167,12248,0.008912728629710388,0.2143870814487859,0.041573067600341934,7730,4437,81,176.66832090140852,-67.50522064471568,0.022854892742743663,-0.015214158360314554
official_aligned,FB15k-237,avg_neg_dep,>=,51.049019607843135,0.20002939807442613,8165,0.007879737665520041,0.19263758874103526,0.04090446582630795,5436,2670,59,102.43723157131677,-38.09917353234563,0.018844229501713904,-0.014269353382900985
official_aligned,FB15k-237,avg_neg_dep,>=,14.0,0.30017883828609226,12253,0.009347127637151714,0.24949705263796595,0.037463879987051044,7680,4498,75,179.389530194,-64.85917525598006,0.023358011744010417,-0.014419558749662087
official_aligned,FB15k-237,avg_pos_dep,>=,0.0851063829787234,0.40003429775349714,16329,0.008606893953315639,0.2894373887120383,0.029736634895772402,10111,6077,141,231.11439827261438,-90.57242690892333,0.02285771914475466,-0.014904134755458834
official_aligned,FB15k-237,gt_rules,<=,12.0,0.3000073495186065,12246,0.0007923035185164935,0.027560101285061048,0.02874820779218114,4769,4055,3422,20.673137267424085,-10.970588379671106,0.004334899825419183,-0.002705447195973146
official_aligned,FB15k-237,num_edges,>=,8.0,0.40419902496386484,16499,0.008290935899189857,0.2909202294549593,0.028499000962301495,9966,6411,122,230.21882655573845,-93.426675155005,0.023100424097505363,-0.014572870871159726
official_aligned,FB15k-237,dep_nonzero_ratio,>=,0.14,0.4008672431955707,16363,0.008175204054196883,0.2916695005911207,0.028028998704452687,9821,6382,160,226.28778062968473,-92.51691669086114,0.0230412158262585,-0.014496539750996731
official_aligned,FB15k-237,avg_neg_dep,>=,0.79,0.400230284916338,16337,0.008318138535134483,0.3041201952066386,0.027351483611545793,9924,6279,134,228.77410351881312,-92.88067427032107,0.023052610189320144,-0.014792271742366789
official_aligned,FB15k-237,gt_stage1_official,<=,0.31549530619672483,0.5000367475930326,20411,0.0025761297856863566,0.11478529977255678,0.02244302877451095,8240,7335,4836,107.36303751199185,-54.78165245634762,0.013029494843688332,-0.007468527942242348
official_aligned,FB15k-237,num_candidates,>=,107.0,0.21046571449570053,8591,0.0030492579005767188,0.14056451092456299,0.021692942838275657,3093,1235,4263,35.567859177356794,-9.371684553502204,0.01149946950448005,-0.007588408545345915
official_aligned,FB15k-237,avg_rules,>=,100.63,0.30003184791396165,12247,0.004220466809448742,0.20077437269011503,0.021020943823158233,5030,1863,5354,67.10620666774061,-15.418149652421864,0.0133411941685369,-0.00827597941622215
official_aligned,FB15k-237,gt_stage1_official,<=,0.4715271228464502,0.5999902006418579,24491,0.003366931855644855,0.16455632700553982,0.0204606648490125,10142,8515,5834,158.74492625415004,-76.2853981775519,0.01565223094598206,-0.00895894282766317
official_aligned,FB15k-237,gt_stage2_official,<=,0.46868023593006347,0.600014699037213,24492,0.00321394450167865,0.1645041647872858,0.01953716190611029,10146,8534,5812,157.37140878780275,-78.65548005268926,0.015510684879539006,-0.00921671901250167
official_aligned,FB15k-237,avg_rules,>=,77.34,0.40005879614885226,16330,0.003975702690070693,0.2061454510420263,0.019285910360739306,6572,3380,6378,99.83617701172064,-34.912952082866234,0.015191140750413975,-0.010329275764161608
official_aligned,FB15k-237,num_candidates,>=,104.0,0.27521497341924106,11234,0.003297987909362977,0.17802957789846346,0.018524943710443078,4004,1762,5468,51.678109031118844,-14.628512857335158,0.012906620637142568,-0.008302220690882609
