feature,sort_direction,macro_gain_pt,macro_delta_mrr,min_dataset_gain_pt,max_dataset_gain_pt,positive_dataset_count,coverage,rank
rule_weight_top3_mean,desc,0.040876399223408355,0.007974534999238588,0.0006441030696180405,0.15458897373790959,6,0.1,33
synergy_weight_top5_mean,desc,0.040087909772083284,0.012510998653246,0.00568586479665556,0.06301302643933715,6,0.1,34
synergy_weight_top5_sum,desc,0.03974791637256939,0.012565694628984157,0.0057888056346662164,0.062047710999268535,6,0.1,35
combo_stage1_uncertainty,desc,0.038986295051125754,0.004965925395036722,0.010850921318368512,0.07692137437735092,6,0.1,36
stage2_top_margin,asc,0.036852140119712606,0.01005734571709554,0.005187938434122907,0.08109278860777946,6,0.1,37
max_rules_per_candidate,desc,0.03677169424494986,0.008913586567423538,0.0004968768337414442,0.08396254196761155,6,0.1,38
synergy_weight_top3_sum,desc,0.03607792353636197,0.012051457741203158,0.0046659177241816785,0.05395523459376528,6,0.1,39
synergy_weight_top3_mean,desc,0.03599992771578875,0.011812379294172157,0.004645997586413042,0.0545424202575886,6,0.1,40
rule_weight_mean,desc,0.0359615898447192,0.0053878085943810565,0.0023374449393562813,0.13122773054770942,6,0.1,41
synergy_weight_max,desc,0.035647145687969305,0.011158058613060873,0.005266412049724112,0.061404564951277996,6,0.1,42
synergy_weight_top1_mean,desc,0.035647145687969305,0.011158058613060873,0.005266412049724112,0.061404564951277996,6,0.1,43
synergy_weight_top1_sum,desc,0.035647145687969305,0.011158058613060873,0.005266412049724112,0.061404564951277996,6,0.1,44
avg_stage2_score,desc,0.0344768428477585,0.00514019740616736,0.006583073150359775,0.06671896926034626,6,0.1,45
synergy_weight_top10_mean,desc,0.034174119991484085,0.0118948531683387,0.00584151421125112,0.05329358617153801,6,0.1,46
avg_rules_per_candidate,desc,0.03383218664597095,0.007219033776211377,0.0014225550947923882,0.07917727059778801,6,0.1,47
synergy_weight_top10_sum,desc,0.033367205841706306,0.011160834866758689,0.005997096415698788,0.056189246873768806,6,0.1,48
unique_redundancy_edges,desc,0.03325122002699158,0.007148154790542279,0.0064874792451694585,0.06989992933588662,6,0.1,49
max_stage1_score,asc,0.030340278302443086,0.004318878148591059,0.0010368687499120455,0.08391595482528436,6,0.1,50
combo_low_rule_confidence,desc,0.029539363119921336,0.004285669374150818,0.0024476984608088337,0.08654554513382884,6,0.1,51
rule_weight_top1_sum,asc,0.02947173940433719,0.004286521249436429,0.0024476984608090557,0.08654554513382906,6,0.1,52
rule_weight_max,asc,0.02947173940433719,0.004286521249436429,0.0024476984608090557,0.08654554513382906,6,0.1,53
rule_weight_top1_mean,asc,0.02947173940433719,0.004286521249436429,0.0024476984608090557,0.08654554513382906,6,0.1,54
rule_weight_top3_mean,asc,0.02855534438663639,0.004317715885872299,0.003552545243230565,0.08706193707037668,6,0.1,55
rule_weight_top3_sum,asc,0.028520264291946873,0.00431621514905559,0.0035581074103498977,0.08706193707037668,6,0.1,56
max_stage2_score,desc,0.027574887458891806,0.0067407492239279455,0.0,0.10376674021328114,5,0.1,57
max_candidate_dep_score,desc,0.02703843810474908,0.0063375732811197655,0.006007048253373837,0.054659146235202405,6,0.1,58
rule_weight_top5_mean,asc,0.026563403684352505,0.004233591641018819,0.002468035954447112,0.07837420506796078,6,0.1,59
rule_weight_top5_sum,asc,0.02652450163055975,0.004232594144337,0.0024802337859519685,0.07837420506796078,6,0.1,60
max_stage1_score,desc,0.025535132486207496,0.006537265006678172,0.0,0.09086990485280078,5,0.1,61
rule_weight_top10_mean,asc,0.02455671551811267,0.004194780635525928,0.0009716871213161227,0.07040860158351858,6,0.1,62
rule_weight_top10_sum,asc,0.024447763036361092,0.004193053401744334,0.000955698927181281,0.07040860158351836,6,0.1,63
synergy_weight_top3_mean,asc,0.024133894403567984,0.005576664472256715,0.0,0.07310290043511092,5,0.1,64
max_stage2_score,asc,0.023352395186340896,0.002911709640288936,-0.04736366339781328,0.08391595482528436,5,0.1,65
unique_synergy_edges,asc,0.0219145045093971,0.004841666481260738,0.0,0.07679368868204195,5,0.1,66
