dataset,feature,sort_direction,full_gain_pt,best_coverage_ge_20,best_n,best_threshold,best_mrr_stage1,best_mrr_stage2,best_delta_mrr,best_gain_pt,gain_lift_vs_full
FB15k-237,query_num_nodes,desc,0.010000388562631857,0.78,31839,87.0,0.293634053885038,0.29708025790409054,0.0034462040190525456,0.01173639083565492,0.0017360022730230629
FB15k-237,avg_stage1_score,asc,0.010000388562690699,0.6,24491,0.2824809174564133,0.3888473162586501,0.39337980540155143,0.00453248914290133,0.01165621814369544,0.0016558295810047419
FB15k-237,rule_weight_mean,desc,0.010000388562501517,0.76,31022,0.0800060865072403,0.38161394077179467,0.386025984692794,0.004412043920999309,0.011561537589733106,0.0015611490272315898
FB15k-237,max_stage1_score,desc,0.010000388562530382,0.2,8164,0.7906950707002603,0.3861079930273381,0.3905582902734163,0.004450297246078205,0.011526042781929924,0.0015256542193995415
FB15k-237,s1_top1,desc,0.010000388562530382,0.2,8164,0.7906950707002603,0.3861079930273381,0.3905582902734163,0.004450297246078205,0.011526042781929924,0.0015256542193995415
FB15k-237,rule_weight_max,desc,0.010000388562531048,0.2,8164,1.5639755383573428,0.3788215932841786,0.383175567833493,0.00435397454931441,0.011493469819309432,0.0014930812567783835
FB15k-237,rule_weight_top1_mean,desc,0.010000388562531048,0.2,8164,1.5639755383573428,0.3788215932841786,0.383175567833493,0.00435397454931441,0.011493469819309432,0.0014930812567783835
FB15k-237,rule_weight_top1_sum,desc,0.010000388562531048,0.2,8164,1.5639755383573428,0.3788215932841786,0.383175567833493,0.00435397454931441,0.011493469819309432,0.0014930812567783835
FB15k-237,top1_rule_weight,desc,0.010000388562531048,0.2,8164,1.5639755383573428,0.3788215932841786,0.383175567833493,0.00435397454931441,0.011493469819309432,0.0014930812567783835
FB15k-237,max_stage2_score,desc,0.01000038856252905,0.2,8164,0.7906950707002603,0.3862818003645484,0.390616343897001,0.004334543532452606,0.011221195325179512,0.0012208067626504615
FB15k-237,rule_weight_top10_sum,desc,0.010000388562530604,0.8,32655,3.1515698420525524,0.3795168835632505,0.3837296816264354,0.004212798063184919,0.011100423316168007,0.0011000347536374022
FB15k-237,rule_weight_top10_mean,desc,0.010000388562530604,0.8,32655,0.3153075349832669,0.3796629280549436,0.3838766147248069,0.00421368666986327,0.011098493844132973,0.0010981052816023684
FB15k-237,rule_weight_top5_mean,desc,0.010000388562527274,0.8,32655,0.3716748093708674,0.3799079432444398,0.38411285639414927,0.004204913149709444,0.011068242253107874,0.0010678536905806002
FB15k-237,rule_weight_top5_sum,desc,0.010000388562527274,0.8,32655,1.8583740468543368,0.3798893899832101,0.3840938243411935,0.0042044343579834,0.011067522465339819,0.0010671339028125448
FB15k-237,weak_rule_score,asc,0.010000388562532159,0.2,8164,-0.5639755383573428,0.37754645918204816,0.3816425993063508,0.00409614012430265,0.010849367077039762,0.0008489785145076034
FB15k-237,max_rules_per_candidate,asc,0.010000388562646956,0.68,27757,200.0,0.39247840490591246,0.3967297375132977,0.00425133260738525,0.010832016626250773,0.0008316280636038176
FB15k-237,candidate_rule_coverage,desc,0.010000388562519724,0.7,28573,1.0,0.35477801173032714,0.3586036487392914,0.0038256370089642666,0.010783185210114343,0.0007827966475946191
FB15k-237,num_rule_nodes,asc,0.010000388562602547,0.8,32655,265.0,0.37317876212159,0.3772022162466667,0.004023454125076709,0.010781573158672453,0.000781184596069906
FB15k-237,num_rules,asc,0.010000388562602547,0.8,32655,265.0,0.37317876212159,0.3772022162466667,0.004023454125076709,0.010781573158672453,0.000781184596069906
FB15k-237,query_num_nodes,asc,0.010000388562602547,0.8,32655,265.0,0.37317876212159,0.3772022162466667,0.004023454125076709,0.010781573158672453,0.000781184596069906
FB15k-237,stage2_top_margin,desc,0.010000388562662499,0.92,37553,0.0,0.346067493439064,0.3497739942880772,0.0037065008490131945,0.010710340957423181,0.0007099523947606823
FB15k-237,rule_weight_mean,asc,0.01000038856270491,0.62,25308,0.3474719200165607,0.3604254153801964,0.3642623825031878,0.0038369671229914193,0.01064566192965044,0.0006452733669455313
