dataset,source_group,config_id,config_label,stage_or_source,label,status,mrr,h1,h10,completed_relations,total_relations,path
codex-l,application,,,app_rules_maxplus,rules + maxplus,done,0.311458,0.253609,0.425185,,,data/codex-l/application/eval-maxplus.log
codex-l,application,,,app_rules_noisyor,rules + noisyor,done,0.302914,0.241771,0.423993,,,data/codex-l/application/eval-noisyor.log
codex-l,application,,,app_base_ranker_maxplus,base ranker + maxplus,done,0.309344,0.251992,0.420711,,,data/codex-l/application/eval_base_ranker_maxplus.log
codex-l,application,,,app_base_ranker_noisyor,base ranker + noisyor,done,0.301760,0.241036,0.421870,,,data/codex-l/application/eval_base_ranker_noisyor.log
codex-l,aggregation,cfg_synergy_redundancy,synergy + redundancy | auto_sqrt,stage1,aggregation stage1,done,0.330477,0.270150,0.446195,69,69,data/codex-l/aggregation/exp-1_LinearAggregator_1_0_1_auto_sqrt_1_1_0
codex-l,aggregation,cfg_synergy_redundancy,synergy + redundancy | auto_sqrt,stage2,aggregation stage2,done,0.333180,0.273122,0.448024,69,69,data/codex-l/aggregation/exp-1_LinearAggregator_1_0_1_auto_sqrt_1_1_0
codex-l,aggregation,cfg_synergy_only,synergy only | auto_sqrt,stage1,aggregation stage1,done,0.330477,0.270150,0.446195,69,69,data/codex-l/aggregation/exp-1_LinearAggregator_1_0_1_auto_sqrt_1_0_0
codex-l,aggregation,cfg_synergy_only,synergy only | auto_sqrt,stage2,aggregation stage2,done,0.333066,0.272747,0.448269,69,69,data/codex-l/aggregation/exp-1_LinearAggregator_1_0_1_auto_sqrt_1_0_0
codex-l,aggregation,cfg_redundancy_only,redundancy only | auto_sqrt,stage1,aggregation stage1,done,0.330477,0.270150,0.446195,69,69,data/codex-l/aggregation/exp-1_LinearAggregator_1_0_1_auto_sqrt_0_1_0
codex-l,aggregation,cfg_redundancy_only,redundancy only | auto_sqrt,stage2,aggregation stage2,done,0.332845,0.272698,0.447845,69,69,data/codex-l/aggregation/exp-1_LinearAggregator_1_0_1_auto_sqrt_0_1_0
codex-l,aggregation,cfg_dep_sign,synergy + redundancy + dependency sign | auto_sqrt,stage1,aggregation stage1,done,0.330477,0.270150,0.446195,69,69,data/codex-l/aggregation/exp-1_LinearAggregator_1_1_1_auto_sqrt_1_1_0
codex-l,aggregation,cfg_dep_sign,synergy + redundancy + dependency sign | auto_sqrt,stage2,aggregation stage2,done,0.332669,0.272796,0.446865,69,69,data/codex-l/aggregation/exp-1_LinearAggregator_1_1_1_auto_sqrt_1_1_0
codex-l,aggregation,cfg_lift_init,synergy + redundancy + lift init | auto_sqrt,stage1,aggregation stage1,done,0.330477,0.270150,0.446195,69,69,data/codex-l/aggregation/exp-1_LinearAggregator_1_0_1_auto_sqrt_1_1_1
codex-l,aggregation,cfg_lift_init,synergy + redundancy + lift init | auto_sqrt,stage2,aggregation stage2,done,0.331830,0.271457,0.446930,69,69,data/codex-l/aggregation/exp-1_LinearAggregator_1_0_1_auto_sqrt_1_1_1
codex-l,aggregation,cfg_auto_ratio,synergy + redundancy | auto_ratio,stage1,aggregation stage1,done,0.326902,0.265056,0.445983,69,69,data/codex-l/aggregation/exp-1_LinearAggregator_1_0_1_auto_ratio_1_1_0
codex-l,aggregation,cfg_auto_ratio,synergy + redundancy | auto_ratio,stage2,aggregation stage2,done,0.329876,0.268485,0.446816,69,69,data/codex-l/aggregation/exp-1_LinearAggregator_1_0_1_auto_ratio_1_1_0
YAGO3-10,application,,,app_rules_maxplus,rules + maxplus,incomplete,,,,,,data/YAGO3-10/application/eval-maxplus.log
YAGO3-10,application,,,app_rules_noisyor,rules + noisyor,done,0.529551,0.449900,0.675400,,,data/YAGO3-10/application/eval-noisyor.log
YAGO3-10,application,,,app_base_ranker_maxplus,base ranker + maxplus,done,0.550335,0.481500,0.676400,,,data/YAGO3-10/application/eval_base_ranker_maxplus.log
YAGO3-10,application,,,app_base_ranker_noisyor,base ranker + noisyor,done,0.524496,0.446300,0.668200,,,data/YAGO3-10/application/eval_base_ranker_noisyor.log
YAGO3-10,aggregation,cfg_synergy_redundancy,synergy + redundancy | auto_sqrt,stage1,aggregation stage1,done,0.569984,0.497500,0.700400,37,37,data/YAGO3-10/aggregation/exp-1_LinearAggregator_1_0_1_auto_sqrt_1_1_0
YAGO3-10,aggregation,cfg_synergy_redundancy,synergy + redundancy | auto_sqrt,stage2,aggregation stage2,done,0.571988,0.497900,0.707700,37,37,data/YAGO3-10/aggregation/exp-1_LinearAggregator_1_0_1_auto_sqrt_1_1_0
YAGO3-10,aggregation,cfg_synergy_only,synergy only | auto_sqrt,stage1,aggregation stage1,done,0.569984,0.497500,0.700400,37,37,data/YAGO3-10/aggregation/exp-1_LinearAggregator_1_0_1_auto_sqrt_1_0_0
YAGO3-10,aggregation,cfg_synergy_only,synergy only | auto_sqrt,stage2,aggregation stage2,done,0.573592,0.499600,0.704900,37,37,data/YAGO3-10/aggregation/exp-1_LinearAggregator_1_0_1_auto_sqrt_1_0_0
YAGO3-10,aggregation,cfg_redundancy_only,redundancy only | auto_sqrt,stage1,aggregation stage1,partial,,,,22,37,data/YAGO3-10/aggregation/exp-1_LinearAggregator_1_0_1_auto_sqrt_0_1_0
YAGO3-10,aggregation,cfg_redundancy_only,redundancy only | auto_sqrt,stage2,aggregation stage2,partial,,,,22,37,data/YAGO3-10/aggregation/exp-1_LinearAggregator_1_0_1_auto_sqrt_0_1_0
YAGO3-10,aggregation,cfg_dep_sign,synergy + redundancy + dependency sign | auto_sqrt,stage1,aggregation stage1,not_started,,,,0,37,
YAGO3-10,aggregation,cfg_dep_sign,synergy + redundancy + dependency sign | auto_sqrt,stage2,aggregation stage2,not_started,,,,0,37,
YAGO3-10,aggregation,cfg_lift_init,synergy + redundancy + lift init | auto_sqrt,stage1,aggregation stage1,not_started,,,,0,37,
YAGO3-10,aggregation,cfg_lift_init,synergy + redundancy + lift init | auto_sqrt,stage2,aggregation stage2,not_started,,,,0,37,
YAGO3-10,aggregation,cfg_auto_ratio,synergy + redundancy | auto_ratio,stage1,aggregation stage1,not_started,,,,0,37,
YAGO3-10,aggregation,cfg_auto_ratio,synergy + redundancy | auto_ratio,stage2,aggregation stage2,not_started,,,,0,37,
