dataset,relation,selected_rules,possible_combinations,observed_combinations,support_qualified_combinations,significant_combinations,significant_positive,significant_negative,observed_over_possible,qualified_over_observed,significant_over_qualified
FB15k-237,170,500,20708500,91255,55846,247,0,247,0.004406644614530266,0.6119774258944716,0.00442287719800881
FB15k-237,171,500,20708500,2404785,1531031,0,0,0,0.11612550402008837,0.6366602419758939,0.0
FB15k-237,172,500,20708500,1013922,400742,16,0,16,0.04896163411159669,0.39523947601492027,3.992593738614869e-05
FB15k-237,173,299,4410549,651807,312895,2,2,0,0.14778364326073692,0.4800424051904935,6.391920612345995e-06
FB15k-237,174,500,20708500,95799,13421,42,0,42,0.00462607141994833,0.1400954080940302,0.0031294240369570078
FB15k-237,175,56,27720,8757,4567,0,0,0,0.3159090909090909,0.5215256366335503,0.0
FB15k-237,176,500,20708500,103887,9536,1,0,1,0.005016635681000556,0.09179204327779221,0.00010486577181208053
FB15k-237,177,500,20708500,1645077,738155,47,0,47,0.07943969867445735,0.4487054405356102,6.367226395540232e-05
FB15k-237,178,500,20708500,230734,67176,55,0,55,0.011141994833039574,0.29114044744164275,0.0008187447898058831
FB15k-237,179,181,971970,119820,68963,0,0,0,0.12327540973486836,0.5755549991654147,0.0
FB15k-237,180,500,20708500,315962,94794,0,0,0,0.015257599536422242,0.30001709066280124,0.0
FB15k-237,181,14,364,205,164,0,0,0,0.5631868131868132,0.8,0.0
FB15k-237,182,391,9886435,1325315,667999,35,0,35,0.13405388292139683,0.5040303625930439,5.239528801689823e-05
FB15k-237,183,500,20708500,409238,164596,132,132,0,0.01976183692686578,0.4022011641147694,0.0008019635957131401
FB15k-237,184,418,12085216,735418,316685,69,69,0,0.060852698040316365,0.4306190493025735,0.00021788212261395393
FB15k-237,185,500,20708500,7063382,3476338,3525,994,2531,0.3410861240553396,0.4921633857548693,0.001013998063479443
FB15k-237,186,500,20708500,1043940,605933,61,61,0,0.050411183813409956,0.5804289518554706,0.00010067119632038525
FB15k-237,187,323,5564321,1012644,680586,0,0,0,0.18198878173994634,0.6720881178380557,0.0
FB15k-237,188,500,20708500,504463,111861,31,0,31,0.024360190260038148,0.22174272444163398,0.0002771296519787951
FB15k-237,189,333,6099006,414674,142705,0,0,0,0.06799042335751104,0.3441378046368955,0.0
FB15k-237,190,33,5456,1683,851,0,0,0,0.3084677419354839,0.5056446821152704,0.0
FB15k-237,191,500,20708500,342113,197989,6,0,6,0.016520414322621146,0.5787239888574828,3.0304713898246874e-05
FB15k-237,192,43,12341,4405,1426,0,0,0,0.3569402803662588,0.32372304199772983,0.0
FB15k-237,193,498,20460496,5998200,2399424,0,0,0,0.2931600485149529,0.40002400720216064,0.0
FB15k-237,194,86,102340,39648,21072,2,2,0,0.3874145006839945,0.5314769975786925,9.491268033409264e-05
FB15k-237,195,500,20708500,4647100,1698282,0,0,0,0.22440543738078567,0.3654498504443632,0.0
FB15k-237,196,24,2024,625,194,0,0,0,0.30879446640316205,0.3104,0.0
FB15k-237,197,306,4728720,543445,445172,0,0,0,0.11492433470368303,0.8191666129967154,0.0
FB15k-237,198,372,8510740,1632333,885916,166,122,44,0.19179683552781543,0.5427299454216756,0.00018737668131064346
FB15k-237,199,27,2925,660,305,0,0,0,0.22564102564102564,0.4621212121212121,0.0
FB15k-237,200,239,2246839,431930,108105,1,0,1,0.1922389632724018,0.2502836107702637,9.250265945145923e-06
FB15k-237,201,133,383306,330724,250971,2,2,0,0.8628197836715313,0.7588533036610587,7.969048216726235e-06
FB15k-237,202,121,287980,20847,8176,0,0,0,0.07239044378081812,0.39219072288578694,0.0
FB15k-237,203,500,20708500,597189,310526,0,0,0,0.02883786850810054,0.519979436995658,0.0
FB15k-237,204,78,76076,15927,13291,270,0,270,0.20935643304064358,0.834494882903246,0.02031449853284177
FB15k-237,205,411,11486765,4195190,2751852,135,134,1,0.365219450384856,0.6559540807448531,4.905787084479834e-05
FB15k-237,206,500,20708500,4234803,1765398,0,0,0,0.20449588333293092,0.41687842386056684,0.0
FB15k-237,207,113,234136,15445,10406,0,0,0,0.06596593432876618,0.673745548721269,0.0
FB15k-237,208,334,6154284,3899956,2626286,0,0,0,0.633697762404205,0.673414264160929,0.0
FB15k-237,209,67,47905,34124,16248,0,0,0,0.7123264794906586,0.47614582112296333,0.0
FB15k-237,210,166,748660,128098,99671,0,0,0,0.17110303742686933,0.7780839669627941,0.0
FB15k-237,211,153,585276,90527,30988,0,0,0,0.15467403413090577,0.3423067151236648,0.0
FB15k-237,212,242,2332880,467988,150646,0,0,0,0.20060526045060184,0.321901416275631,0.0
FB15k-237,213,362,7840920,4803441,3186887,0,0,0,0.6126119128877734,0.6634591743710394,0.0
