dataset,relation,selected_rules,possible_pairs,observed_pairs,support_qualified_pairs,significant_pairs,significant_pairs_positive,significant_pairs_negative,observed_pairs_over_possible,qualified_pairs_over_observed,significant_pairs_over_qualified,possible_combinations,observed_combinations,support_qualified_combinations,significant_combinations,significant_positive,significant_negative,observed_over_possible,qualified_over_observed,significant_over_qualified
FB15k-237,38,500,124750,4346,2129,321,156,165,0.034837675350701404,0.48987574781408194,0.15077501174260216,20708500,13789,4343,32,11,21,0.0006658618441702682,0.3149612009572848,0.007368178678332949
FB15k-237,39,447,99681,29659,17649,1009,715,294,0.2975391498881432,0.5950638929161469,0.057170377925094905,14786015,904616,316812,49,49,0,0.061180514154760425,0.35021710869584444,0.00015466585861646654
FB15k-237,40,500,124750,7036,5608,133,21,112,0.056400801603206416,0.7970437748720864,0.02371611982881598,20708500,48169,30827,90,0,90,0.0023260496897409277,0.6399759181216135,0.0029195186038213253
FB15k-237,41,500,124750,3208,1196,61,1,60,0.025715430861723447,0.37281795511221943,0.05100334448160535,20708500,7167,1204,9,0,9,0.0003460897699012483,0.16799218640993444,0.007475083056478406
FB15k-237,42,500,124750,3234,1215,90,0,90,0.025923847695390783,0.37569573283859,0.07407407407407407,20708500,8098,1458,23,0,23,0.000391047154550064,0.18004445542109163,0.01577503429355281
FB15k-237,43,500,124750,9502,2542,1040,4,1036,0.07616833667334669,0.2675226268154073,0.4091266719118804,20708500,51953,5574,111,0,111,0.0025087765893232247,0.1072892806960137,0.01991388589881593
FB15k-237,44,500,124750,17072,9248,1194,234,960,0.1368496993987976,0.5417057169634489,0.12910899653979238,20708500,271422,98944,85,0,85,0.013106791897047106,0.36453935200536436,0.0008590717981888745
FB15k-237,45,500,124750,19749,7912,1234,923,311,0.15830861723446893,0.4006278798926528,0.15596562184024268,20708500,272993,61477,87,79,8,0.01318265446555762,0.22519625045330832,0.0014151633944401972
FB15k-237,46,220,24090,6558,4383,364,27,337,0.27222914072229143,0.6683440073193047,0.08304814054300708,1750540,91439,36223,0,0,0,0.052234738994824455,0.39614387733899104,0.0
FB15k-237,47,500,124750,2952,1336,106,24,82,0.023663326653306612,0.45257452574525747,0.07934131736526946,20708500,5992,1412,2,0,2,0.0002893497839051597,0.2356475300400534,0.00141643059490085
FB15k-237,48,500,124750,15037,4330,1300,129,1171,0.12053707414829659,0.28795637427678394,0.3002309468822171,20708500,111165,13932,124,1,123,0.005368085568727817,0.12532721630009444,0.008900373241458513
FB15k-237,49,489,119316,35870,16101,2201,54,2147,0.30063025914378627,0.4488709227766936,0.13669958387677783,19368964,1028441,279295,165,0,165,0.0530973675205344,0.27157124229780805,0.0005907731967990834
FB15k-237,50,500,124750,15654,7523,340,22,318,0.12548296593186373,0.4805800434393765,0.04519473614249635,20708500,221179,54639,0,0,0,0.01068059009585436,0.24703520677822036,0.0
FB15k-237,51,421,88410,53569,37256,8070,1343,6727,0.6059156204049315,0.6954768616177267,0.21660940519647842,12347930,3547920,1747367,403,88,315,0.28732913127949383,0.49250462242666126,0.00023063271768323425
FB15k-237,52,383,73153,12655,5917,183,49,134,0.17299358877968093,0.4675622283682339,0.030927835051546393,9290431,212695,47013,3,0,3,0.022893986296222427,0.22103481511083947,6.381213706847043e-05
FB15k-237,53,32,496,375,210,25,16,9,0.7560483870967742,0.56,0.11904761904761904,4960,2042,617,0,0,0,0.41169354838709676,0.302154750244858,0.0
FB15k-237,54,20,190,150,109,41,28,13,0.7894736842105263,0.7266666666666667,0.3761467889908257,1140,593,249,0,0,0,0.5201754385964912,0.41989881956155145,0.0
FB15k-237,55,230,26335,14239,9847,707,41,666,0.5406872982722613,0.6915513729896763,0.07179851731491825,2001460,503296,223459,0,0,0,0.2514644309653953,0.44399120994404884,0.0
FB15k-237,56,127,8001,0,0,0,0,0,0.0,0.0,0.0,333375,0,0,0,0,0,0.0,0.0,0.0
FB15k-237,57,500,124750,4587,1078,78,0,78,0.03676953907815631,0.23501199040767387,0.07235621521335807,20708500,15740,1392,8,0,8,0.0007600743655986672,0.08843710292249048,0.005747126436781609
FB15k-237,58,500,124750,9602,5188,1337,120,1217,0.07696993987975952,0.54030410331181,0.25771010023130303,20708500,91157,33396,670,0,670,0.004401912258251443,0.36635694461204293,0.020062282908132712
FB15k-237,59,500,124750,12571,7692,167,117,50,0.1007695390781563,0.6118844960623657,0.02171086843473739,20708500,153746,57293,0,0,0,0.007424294371876283,0.3726470932577108,0.0
FB15k-237,60,500,124750,66326,29949,21100,7,21093,0.5316713426853708,0.4515423815698218,0.7045310360946944,20708500,3306476,783863,73,0,73,0.1596675761160876,0.2370690124470887,9.312851863144452e-05
FB15k-237,61,500,124750,17424,11457,2956,0,2956,0.13967134268537074,0.6575413223140496,0.2580082045910797,20708500,289852,122247,563,0,563,0.013996764613564479,0.42175662062017855,0.004605429990102007
FB15k-237,62,500,124750,34569,20341,7177,1072,6105,0.2771062124248497,0.5884173681622262,0.35283417727742,20708500,1208787,493590,145,109,36,0.058371538257237364,0.40833496720265855,0.0002937660811604773
FB15k-237,63,500,124750,42374,28957,7756,2969,4787,0.33967134268537075,0.6833671591069995,0.26784542597644784,20708500,1996889,1004408,3242,1496,1746,0.09642847140063258,0.5029863953379482,0.003227771981107279
FB15k-237,64,500,124750,11457,1387,140,0,140,0.09183967935871744,0.12106135986733002,0.10093727469358327,20708500,44065,2773,0,0,0,0.002127870198227781,0.06292976285033473,0.0
FB15k-237,65,500,124750,10880,3075,358,1,357,0.08721442885771544,0.28262867647058826,0.11642276422764228,20708500,62837,9605,25,0,25,0.0030343578723712487,0.1528558015182138,0.0026028110359187923
FB15k-237,66,500,124750,14251,6260,713,374,339,0.11423647294589179,0.43926741983018736,0.11389776357827476,20708500,165126,37537,57,11,46,0.007973827172417123,0.22732337729975896,0.0015185017449449876
FB15k-237,67,174,15051,2966,2337,92,25,67,0.19706331805195668,0.7879298718813217,0.03936670945656825,862924,29408,15756,0,0,0,0.03407947860993552,0.5357725788900979,0.0
FB15k-237,68,500,124750,12318,5788,274,0,274,0.09874148296593187,0.4698814742653028,0.04733932273669662,20708500,116218,30947,64,0,64,0.0056120916531858895,0.26628405238431224,0.0020680518305490033
FB15k-237,69,500,124750,2473,624,108,0,108,0.01982364729458918,0.2523251112009705,0.17307692307692307,20708500,4416,517,5,0,5,0.00021324576864572518,0.11707427536231885,0.009671179883945842
FB15k-237,70,500,124750,27066,17848,876,73,803,0.2169619238476954,0.6594251089928324,0.04908112953832362,20708500,688232,281451,41,0,41,0.033234275780476615,0.40894785479315116,0.00014567366966185944
FB15k-237,71,500,124750,12026,5116,384,130,254,0.09640080160320641,0.42541160818227175,0.07505863956215794,20708500,111582,23492,7,3,4,0.005388222227587705,0.21053574949364592,0.0002979737783075089
FB15k-237,72,500,124750,3248,860,116,0,116,0.026036072144288578,0.2647783251231527,0.13488372093023257,20708500,8800,1232,6,0,6,0.0004249462780983654,0.14,0.00487012987012987
FB15k-237,73,500,124750,27400,14540,7000,0,7000,0.21963927855711424,0.5306569343065694,0.4814305364511692,20708500,635968,206031,9,0,9,0.030710481203370596,0.32396441330381404,4.368274677111697e-05
FB15k-237,74,500,124750,19997,11279,746,607,139,0.16029659318637274,0.5640346051907786,0.06614061530277507,20708500,350114,106751,3,1,2,0.01690677741024217,0.304903545702257,2.8102781238583244e-05
FB15k-237,75,500,124750,889,135,33,0,33,0.00712625250501002,0.15185601799775028,0.24444444444444444,20708500,407,11,0,0,0,1.96537653620494e-05,0.02702702702702703,0.0
FB15k-237,76,500,124750,7023,2640,100,25,75,0.05629659318637274,0.3759077317385733,0.03787878787878788,20708500,31846,4651,0,0,0,0.0015378226332182438,0.14604659925893362,0.0
FB15k-237,77,500,124750,17065,5642,371,305,66,0.1367935871743487,0.3306182244359801,0.06575682382133995,20708500,210225,27418,14,12,2,0.010151628558321463,0.13042216672612678,0.0005106134656065359
FB15k-237,78,500,124750,44381,26427,3335,62,3273,0.3557595190380762,0.595457515603524,0.12619669277632725,20708500,1957071,711563,0,0,0,0.09450568607093705,0.3635856849342717,0.0
FB15k-237,79,500,124750,16842,11357,1169,0,1169,0.1350060120240481,0.6743260895380596,0.1029321123536145,20708500,263434,125507,212,0,212,0.012721056570973272,0.4764267330716612,0.0016891488124168373
FB15k-237,80,335,55945,12183,10385,3068,131,2937,0.21776745017427832,0.8524173027989822,0.2954260953298026,6209895,271650,204268,100,0,100,0.04374470099735986,0.7519528805448187,0.0004895529402549592
FB15k-237,81,146,10585,0,0,0,0,0,0.0,0.0,0.0,508080,0,0,0,0,0,0.0,0.0,0.0
FB15k-237,82,500,124750,22581,9588,886,49,837,0.18101002004008016,0.4246047562109738,0.09240717563621194,20708500,431413,94327,10,0,10,0.020832653258323876,0.2186466332725254,0.00010601418469791258
FB15k-237,83,500,124750,36800,24402,4334,3762,572,0.2949899799599198,0.6630978260869566,0.17760839275469223,20708500,1279528,626218,1684,1663,21,0.0617875751503006,0.48941328364834535,0.002689159366227097
FB15k-237,84,500,124750,18292,10202,2380,2216,164,0.14662925851703407,0.5577301552591297,0.2332875906684964,20708500,282977,100974,275,275,0,0.01366477533380013,0.35682758669432496,0.002723473369382217
FB15k-237,85,500,124750,18053,5386,3460,0,3460,0.14471342685370742,0.2983437655791281,0.6424062383958411,20708500,204923,31259,1355,0,1355,0.009895598425767198,0.15254022242500842,0.04334751591541636
FB15k-237,86,500,124750,13559,7415,993,441,552,0.10868937875751503,0.5468692381444059,0.13391773432231963,20708500,152539,46935,19,3,16,0.007366009126687109,0.3076918034076531,0.00040481516991584105
FB15k-237,87,500,124750,67386,47926,15153,4711,10442,0.5401683366733467,0.7112159795803282,0.31617493636022204,20708500,4757260,2416224,2061,1131,930,0.22972499215298067,0.5079024480478258,0.0008529838293138385
FB15k-237,88,202,20301,9841,7290,518,35,483,0.4847544455938131,0.7407783761812824,0.0710562414266118,1353400,300037,159830,0,0,0,0.22169129599527118,0.5327009668807514,0.0
FB15k-237,89,500,124750,4866,1534,84,0,84,0.039006012024048096,0.3152486642005754,0.054758800521512385,20708500,14182,2361,0,0,0,0.000684839558635343,0.1664786348892963,0.0
FB15k-237,90,500,124750,43375,28700,7096,2,7094,0.34769539078156314,0.661671469740634,0.24724738675958188,20708500,1737235,727524,1282,0,1282,0.08388994857184248,0.41878272081785134,0.0017621411802222332
FB15k-237,91,193,18528,14589,11480,9150,0,9150,0.7874028497409327,0.7868942353828227,0.7970383275261324,1179616,599618,358342,0,0,0,0.5083162656322058,0.5976171495852359,0.0
FB15k-237,92,500,124750,1749,707,10,0,10,0.01402004008016032,0.4042309891366495,0.014144271570014143,20708500,2560,567,1,0,1,0.0001236207354467972,0.221484375,0.001763668430335097
