coverage,rank,feature,sort_direction,macro_gain_pt,positive_datasets,min_dataset_gain,max_dataset_gain
0.1,143,sum_negative_dep,asc,0.0037047553976468084,4,-0.00247956686865336,0.018391902514850678
0.1,144,synergy_weight_mean,asc,0.003607289605487301,4,-0.002433680652378034,0.018391902514850678
0.1,145,synergy_weight_top5_sum,asc,0.003607289605487301,4,-0.002433680652378034,0.018391902514850678
0.1,146,synergy_weight_top5_mean,asc,0.003607289605487301,4,-0.002433680652378034,0.018391902514850678
0.1,147,synergy_weight_top3_mean,asc,0.003607289605487301,4,-0.002433680652378034,0.018391902514850678
0.1,148,synergy_weight_max,asc,0.003607289605487301,4,-0.002433680652378034,0.018391902514850678
0.1,149,num_pos_dep,asc,0.003607289605487301,4,-0.002433680652378034,0.018391902514850678
0.1,150,pos_dep_ratio,asc,0.003607289605487301,4,-0.002433680652378034,0.018391902514850678
0.1,151,syn_rule_ratio,asc,0.003607289605487301,4,-0.002433680652378034,0.018391902514850678
0.1,152,pos_mass,asc,0.003607289605487301,4,-0.002433680652378034,0.018391902514850678
0.1,153,synergy_weight_top10_sum,asc,0.003607289605487301,4,-0.002433680652378034,0.018391902514850678
0.1,154,topk_synergy,asc,0.003607289605487301,4,-0.002433680652378034,0.018391902514850678
0.1,155,topk_synergy_sum,asc,0.003607289605487301,4,-0.002433680652378034,0.018391902514850678
0.1,156,synergy_weight_top3_sum,asc,0.003607289605487301,4,-0.002433680652378034,0.018391902514850678
0.1,157,unique_synergy_edges,asc,0.003607289605487301,4,-0.002433680652378034,0.018391902514850678
0.1,158,synergy_weight_top10_mean,asc,0.003607289605487301,4,-0.002433680652378034,0.018391902514850678
0.1,159,synergy_weight_top1_mean,asc,0.003607289605487301,4,-0.002433680652378034,0.018391902514850678
0.1,160,synergy_weight_top1_sum,asc,0.003607289605487301,4,-0.002433680652378034,0.018391902514850678
0.1,161,abs_dep_mass,asc,0.0035736952056023563,4,-0.002479566868653138,0.018391902514850678
0.1,162,num_dependencies,asc,0.0035736952056023563,4,-0.002479566868653138,0.018391902514850678
0.1,163,dep_rule_ratio,asc,0.0035736952056023563,4,-0.002479566868653138,0.018391902514850678
0.1,164,dep_density,asc,0.0035736952056023563,4,-0.002479566868653138,0.018391902514850678
0.1,165,query_num_edges,asc,0.0035736952056023563,4,-0.002479566868653138,0.018391902514850678
0.1,166,num_dependency_edges,asc,0.0035736952056023563,4,-0.002479566868653138,0.018391902514850678
0.1,167,candidate_dep_coverage,asc,0.0035648590867117325,4,-0.002479566868653138,0.018391902514850678
0.1,168,dep_candidate_ratio,asc,0.0035648590867117325,4,-0.002479566868653138,0.018391902514850678
0.2,1,synergy_weight_mean,desc,0.03890565805655918,7,0.005204179910125228,0.09498422238921989
0.2,2,dep_candidate_ratio,desc,0.03696106040598129,7,0.005889457334247394,0.08821692212784127
